1950	41.798
1951	45.267
1952	49.18
1953	47.816
1954	60.747
1955	144.71
1956	64.149
1957	43.944
1958	44.941
1959	60.381
1960	41.427
1961	62.613
1962	61.81
1963	58.407
1964	40.263
1965	43.319
1966	49.516
1967	35.371
1968	41.357
1969	56.484
1970	82.738
1971	100.517
1972	55.337
1973	56.245
1974	61.32
1975	50.342
1976	64.341
1977	93.017
1978	70.587
1979	54.189
1980	33.97
1981	33.81
1982	40.487
1983	61.93
1984	65.465
1985	52.844
1986	47.727
1987	52.77
1988	74.028
1989	59.472
1990	47.168
1991	97.245
1992	110.86
1993	36.527
1994	63.584
1995	70.764
1996	97.008
1997	48.816
1998	41.797
1999	36.366
2000	59.659
2001	85.217
2002	53.241
2003	62.734
2004	111.622
2005	57.129
2006	161.414
2007	67.581
2008	51.282
2009	88.235
2010	38.995
2011	64.022
2012	42.457
2013	70.722
2014	41.691
2015	51.335
2016	61.822
2017	87.57
2018	98.414
2019	46.646
2020	67.393
2021	48.197
2022	53.463
2023	96.384
2024	57.501
2025	94.234
2026	62.259
2027	114.935
2028	68.797
2029	212.218
2030	122.275
2031	68.491
2032	27.411
2033	66.262
2034	35.214
2035	48.278
2036	65.7
2037	84.912
2038	77.484
2039	54.642
2040	52.505
2041	57.026
2042	49.966
2043	71.382
2044	116.42
2045	93.034
2046	44.314
2047	114.307
2048	45.297
2049	49.772
2050	37.598
2051	103.066
2052	38.577
2053	42.304
2054	131.692
2055	65.414
2056	51.351
2057	127.302
2058	50.281
2059	73.874
2060	40.998
2061	53.884
2062	58.152
2063	73.834
2064	51.18
2065	69.414
2066	46.816
2067	53.418
2068	49.413
2069	53.359
2070	68.312
2071	58.119
2072	55.199
2073	52.712
2074	80.09
2075	85.076
2076	47.533
2077	68.627
2078	42.326
2079	50.201
2080	58.265
2081	45.861
2082	59.496
2083	90.483
2084	108.842
2085	55.578
2086	48.543
2087	60.668
2088	56.498
2089	69.469
2090	71.979
2091	72.09
2092	57.468
2093	57.829
2094	54.349
2095	152.671
2096	62.556
2097	43.444
2098	112.561
2099	83.316
