1950	96
1951	100
1952	100
1953	101
1954	104
1955	99
1956	98
1957	98
1958	99
1959	97
1960	97
1961	96
1962	98
1963	98
1964	98
1965	97
1966	97
1967	96
1968	96
1969	101
1970	94
1971	100
1972	96
1973	100
1974	95
1975	99
1976	99
1977	97
1978	98
1979	101
1980	99
1981	97
1982	98
1983	100
1984	98
1985	98
1986	97
1987	95
1988	98
1989	100
1990	100
1991	96
1992	98
1993	96
1994	101
1995	99
1996	99
1997	96
1998	100
1999	96
2000	98
2001	99
2002	101
2003	101
2004	96
2005	101
2006	100
2007	98
2008	99
2009	96
2010	98
2011	98
2012	102
2013	98
2014	97
2015	96
2016	99
2017	100
2018	98
