1950	97
1951	96
1952	89
1953	101
1954	91
1955	108
1956	97
1957	100
1958	103
1959	103
1960	92
1961	106
1962	92
1963	110
1964	94
1965	101
1966	101
1967	97
1968	95
1969	88
1970	102
1971	101
1972	95
1973	98
1974	100
1975	104
1976	99
1977	91
1978	105
1979	103
1980	98
1981	104
1982	92
1983	97
1984	96
1985	97
1986	92
1987	103
1988	106
1989	102
1990	94
1991	95
1992	92
1993	91
1994	98
1995	93
1996	97
1997	97
1998	95
1999	95
2000	93
2001	84
2002	89
2003	91
2004	101
2005	96
2006	94
2007	94
2008	96
2009	95
2010	105
2011	92
2012	98
2013	92
2014	97
2015	99
2016	101
2017	104
2018	94
2019	98
2020	99
