2014	6.288
2015	5.158
2016	3.339
2017	2.399
2018	1.856
2019	5.227
2020	2.349
2021	2.477
2022	3.187
2023	2.452
2024	3.426
2025	9.532
2026	2.371
2027	3.851
2028	3.554
2029	3.491
2030	3.68
2031	4.587
2032	2.993
2033	3.889
2034	8.295
2035	3.263
2036	3.055
2037	7.024
2038	13.896
2039	3.215
2040	2.883
2041	3.032
2042	3.945
2043	6.058
2044	2.93
2045	5.191
2046	2.423
2047	4.071
2048	4.768
2049	4.976
2050	2.67
2051	5.887
2052	2.499
2053	2.418
2054	3.999
2055	3.774
2056	2.059
2057	4.759
2058	5.009
2059	4.528
2060	2.617
2061	6.808
2062	2.697
2063	2.896
2064	4.464
2065	4.276
2066	2.434
2067	4.534
2068	3.983
2069	3.456
2070	3.796
2071	7.988
2072	3.435
2073	6.216
2074	3.401
2075	6.678
2076	2.728
2077	3.283
2078	4.939
2079	5.194
2080	2.911
2081	4.578
2082	4.458
2083	3.503
2084	4.727
2085	4.252
2086	2.853
2087	3.293
2088	5.889
2089	3.677
2090	2.945
2091	3.753
2092	2.907
2093	6.855
2094	4.79
2095	8.523
2096	3.212
2097	3.238
2098	2.789
2099	3.202
