1950	48.844
1951	41.705
1952	46.212
1953	110.86
1954	54.189
1955	48.485
1956	46.652
1957	97.245
1958	85.217
1959	48.356
1960	38.831
1961	47.727
1962	45.267
1963	50.289
1964	56.484
1965	47.685
1966	50.233
1967	100.517
1968	70.764
1969	33.087
1970	111.622
1971	99.932
1972	39.104
1973	63.584
1974	65.465
1975	97.008
1976	70.587
1977	35.208
1978	49.431
1979	43.944
1980	35.522
1981	51.875
1982	62.734
1983	61.93
1984	37.605
1985	66.764
1986	144.71
1987	60.381
1988	36.918
1989	83.274
1990	43.941
1991	38.769
1992	59.659
1993	50.047
1994	45.152
1995	59.233
1996	52.77
1997	40.487
1998	44.967
1999	93.017
2000	74.028
2001	49.18
2002	52.844
2003	39.279
2004	64.341
2005	42.881
2006	164.664
2007	41.028
2008	76.842
2009	69.653
2010	92.339
2011	46.083
2012	56.008
2013	42.626
2014	50.422
2015	73.022
2016	59.949
2017	41.643
2018	164.218
2019	67.814
2020	130.47
2021	60.219
2022	47.49
2023	67.189
2024	53.823
2025	47.561
2026	61.314
2027	82.001
2028	154.055
2029	67.053
2030	69.456
2031	53.467
2032	87.87
2033	48.108
2034	60.138
2035	112.639
2036	52.082
2037	109.996
2038	33.567
2039	42.701
2040	51.71
2041	106.416
2042	65.931
2043	45.218
2044	93.19
2045	89.338
2046	39.719
2047	112.875
2048	68.759
2049	165.611
2050	69.991
2051	51.85
2052	43.08
2053	197.385
2054	108.664
2055	73.035
2056	40.87
2057	67.018
2058	66.985
2059	41.976
2060	51.161
2061	80.268
2062	68.945
2063	72.957
2064	68.952
2065	29.747
2066	53.783
2067	138.724
2068	80.08
2069	94.233
2070	70.915
2071	47.155
2072	74.88
2073	28.941
2074	110.595
2075	43.055
2076	97.241
2077	94.52
2078	54.38
2079	135.682
2080	85.411
2081	60.955
2082	70.089
2083	104.041
2084	113.582
2085	109.278
2086	60.728
2087	66.387
2088	43.562
2089	67.899
2090	102.332
2091	57.027
2092	73.544
2093	64.872
2094	74.387
2095	85.961
2096	32.612
2097	43.872
2098	96.642
2099	80.654
