1950	50.543
1951	39.179
1952	97.008
1953	82.738
1954	33.329
1955	62.613
1956	57.129
1957	52.77
1958	63.584
1959	38.99
1960	48.816
1961	100.517
1962	61.81
1963	93.017
1964	53.241
1965	40.001
1966	50.233
1967	32.22
1968	33.087
1969	65.465
1970	85.217
1971	64.341
1972	61.32
1973	51.524
1974	42.903
1975	47.168
1976	60.381
1977	59.472
1978	47.157
1979	50.289
1980	111.622
1981	52.184
1982	30.873
1983	110.86
1984	46.212
1985	56.245
1986	99.932
1987	70.764
1988	52.57
1989	55.337
1990	40.842
1991	56.121
1992	50.342
1993	74.028
1994	61.93
1995	70.587
1996	97.245
1997	49.126
1998	42.859
1999	47.727
2000	144.71
2001	66.764
2002	64.149
2003	62.734
2004	52.902
2005	59.659
2006	68.456
2007	47.515
2008	51.28
2009	49.727
2010	109.284
2011	48.613
2012	212.545
2013	60.499
2014	53.449
2015	55.201
2016	49.497
2017	59.871
2018	61.436
2019	45.102
2020	68.957
2021	38.234
2022	59.627
2023	68.764
2024	94.673
2025	40.554
2026	62.365
2027	87.305
2028	66.424
2029	64.345
2030	64.559
2031	41.295
2032	97.291
2033	64.638
2034	73.692
2035	51.738
2036	63.095
2037	51.111
2038	48.205
2039	53.495
2040	97.35
2041	59.132
2042	60.68
2043	53.367
2044	51.597
2045	73.44
2046	46.306
2047	86.046
2048	68.209
2049	59.114
2050	77.067
2051	42.047
2052	60.392
2053	64.188
2054	53.337
2055	42.876
2056	67.736
2057	49.282
2058	80.935
2059	40.303
2060	174.262
2061	49.832
2062	88.294
2063	130.944
2064	83.592
2065	48.31
2066	48.744
2067	65.366
2068	42.476
2069	44.006
2070	85.265
2071	52.472
2072	47.475
2073	111.134
2074	49.248
2075	104.833
2076	58.492
2077	89.189
2078	96.762
2079	87.807
2080	48.613
2081	83.116
2082	47.616
2083	59.016
2084	63.766
2085	54.739
2086	46.556
2087	61.827
2088	51.654
2089	56.355
2090	59.863
2091	53.905
2092	69.707
2093	104.523
2094	37.41
2095	124.157
2096	90.197
2097	137.059
2098	78.998
2099	86.174
